,SMILES,ERed
0,CCOC1N(C)c2cc3nsnc3c(OC)c2N1CC,1.27
1,CCc1c(N(C)OC)c(N(C)C)c(OC)c2nsnc12,1.52
2,CCc1c2c(c(N(CC)CC(C)C)c3nsnc13)OCCO2,1.37
3,CCN(C)c1c2c(c(N(C)C)c3nsnc13)C1CCC2CC1,1.36
4,CCN(C)c1c(OC)cc(C)c2nsnc12,1.55
5,CCc1c2c(cc3nsnc13)N(C(C)C)CCN2C(C)C,1.35
6,CCCCC1COc2c(cc3nsnc3c2C(C)C)O1,1.46
7,CCc1cc2nsnc2c(C)c1N(C)C,1.54
8,CCNc1c2c(cc3nsnc13)C(CC)CO2,1.43
9,CCOc1c2c(c(C(C)CC)c3nsnc13)N(CC)CN2C,1.24
10,CCN(C)c1c2c(cc3nsnc13)N(CC)CCN2C(C)C,1.03
11,CCCc1c2c(cc3nsnc13)C1CCC2CC1,1.45
12,CCc1cc2c(c3nsnc13)NC(C)C2,1.49
13,COCCN(C)c1c2c(c(C)c3nsnc13)OCCO2,1.4
14,CCC1Oc2c(cc3nsnc3c2N(C)CC)OC1C,1.6
15,CCc1c2c(c(C)c3nsnc13)N(C(C)C)CN2CC,1.1
16,CC1CNc2c(ccc3nsnc23)C1,1.48
17,CCCCC1COc2cc3nsnc3c(N(C)CC)c2O1,1.43
18,CCCN1CCN(C)c2c1c(CC)c1nsnc1c2OC,1.44
19,CCOc1c2c(c(OCC)c3nsnc13)OC(C)CO2,1.56
20,CCCN1CN(C)c2cc3nsnc3c(/[N+](C)=C(/[O-])CC)c21,1.27
21,CCCc1c2c(cc3nsnc13)OC(CC)C(CC(C)C)O2,1.68
22,CCOc1c2c(c(C)c3nsnc13)N(CC)CCN2CC,1.22
23,CCc1c2c(cc3nsnc13)N(CCOC(C)C)CCN2C,1.31
24,CCN1CN(CC(C)C)c2c1c(C(C)C)c1nsnc1c2C,1.06
25,C/C([O-])=[NH+]\c1c2c(c(C(C)C)c3nsnc13)N(C)CCN2C,1.55
26,Cc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,1.15
27,CCN1CCN(CC)c2cc3nsnc3cc21,1.12
28,CCCOc1ccc(C(C)CC)c2nsnc12,1.53
29,CCCCC1Oc2cc3nsnc3c(C)c2OC1CC(C)C,1.43
30,CCCc1c2c(cc3nsnc13)OC(C(C)CC)C(CC)O2,1.55
31,CCN(c1c2c(cc3nsnc13)OC(C(C)C)CO2)C(C)C,1.42
32,CCCc1c(C)cc(C)c2nsnc12,1.57
33,CC(C)c1c2c(cc3nsnc13)OC(C(C)C)C(C)O2,1.51
34,CCOCCc1c(N)c(NC)cc2nsnc12,1.21
35,CCCCc1c2c(cc3nsnc13)OCC(CC(C)C)O2,1.27
36,CCOCCc1c2c(c(OCC)c3nsnc13)OCCO2,1.58
37,CCC1CNc2c1c(OC)cc1nsnc21,1.42
38,COCCN1CN(C(C)C)c2cc3nsnc3cc21,1.06
39,CCN1c2cc3nsnc3cc2N(CC)C1OCC(C)C,1.09
40,Cc1c2c(c(OCCN(C)C)c3nsnc13)C1CCC2C1,1.46
41,CCCN1CN(CC)c2c1cc1nsnc1c2OC,1.09
42,CCN1CN(C)c2c1c(C)c1nsnc1c2OCC(C)C,1.14
43,CCOc1c2c(c(N(C)CC)c3nsnc13)OCC(C)O2,1.38
44,CCN1CN(C(C)C)c2cc3nsnc3c(N(CC)CC)c21,1.06
45,CCCc1c2c(cc3nsnc13)N(C)C(OCC)N2C(C)C,1.28
46,CN(C)c1c2c(cc3nsnc13)CCO2,1.45
47,CC/C([O-])=[N+](/C)c1c2c(cc3nsnc13)N(C)CN2C,1.27
48,CCCCC1COc2c(c(N(C)C)c3nsnc3c2CC)O1,1.48
49,CCCN1CN(CCC)c2c1cc1nsnc1c2/[NH+]=C(\C)[O-],1.16
50,CCC(C)C1COc2c(cc3nsnc3c2N(CC)CC)O1,1.51
51,C/C([O-])=[NH+]\c1c2c(cc3nsnc13)C1CCC2C1,1.63
52,CCN1CN(C(C)C)c2cc3nsnc3c(/[N+](C)=C(\C)[O-])c21,1.22
53,COCCN1CN(C(C)C)c2cc3nsnc3c(OC)c21,1.09
54,CC(C)Oc1cc2nsnc2cc1N(C)C,1.53
55,CCCC(=O)Oc1c2c(c(C)c3nsnc13)OCC(C)O2,1.6
56,CCCOc1c2c(c(C(C)CC)c3nsnc13)C1CCC2CC1,1.44
57,CC(C)N1CN(C(C)C)c2cc3nsnc3cc21,0.89
58,CCc1c2c(cc3nsnc13)C(C)CC2,1.48
59,CCc1c2c(cc3nsnc13)N(C(C)CC)CCN2CC,1.16
60,CCC(C)Nc1c(N)cc2nsnc2c1C,1.32
61,CCCCOc1c2c(cc3nsnc13)N(CC)CN2CC,1.09
62,CCN(C)CCN1CN(CC(C)C)c2cc3nsnc3cc21,1.07
63,CCC1Oc2cc3nsnc3cc2OC1C(C)C,1.53
64,CCCCc1c2c(c(C)c3nsnc13)N(C)CCN2C,1.28
65,CCOc1c2c(c(C)c3nsnc13)OCC(C(C)CC)O2,1.48
66,CCN(CC)c1c2c(cc3nsnc13)N(C)CCN2C,1.18
67,CCC(C)Oc1c(C)c(C)cc2nsnc12,1.54
68,CCc1c2c(c(C)c3nsnc13)N(C(C)CC)CCN2CC,1.19
69,CCN1c2cc3nsnc3cc2N(C)C1OCC(C)C,1.15
70,CCCN1CCN(C(C)C)c2cc3nsnc3c(OCC)c21,1.3
71,CCC1Oc2cc3nsnc3c(CC(C)C)c2OC1CC,1.37
72,CCC1COc2cc3nsnc3c(N(C)CC)c2O1,1.39
73,CCC1Oc2c(cc3nsnc3c2/[NH+]=C(\C)[O-])OC1C,1.66
74,CCc1c2c(c(N(C)C(C)C)c3nsnc13)OC(CC)CO2,1.38
75,CCCCOc1c2c(c(OC)c3nsnc13)C1CCC2CC1,1.53
76,CCCOc1c2c(c(CCC)c3nsnc13)OC(C)CO2,1.41
77,CC1COc2ccc3nsnc3c2C1,1.54
78,CCCN1c2cc3nsnc3cc2N(C)C1OC(C)C,1.12
79,CCCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,1.19
80,CCc1c2c(c(CC(C)C)c3nsnc13)N(C)CCN2CC,1.31
81,CCOc1c(NC)c(NC)c(OCC(C)C)c2nsnc12,1.42
82,CCc1c2c(c(C)c3nsnc13)OC(CC)CO2,1.41
83,CCCC/C([O-])=[NH+]\c1c2c(cc3nsnc13)N(C)CCN2C,1.63
84,CCCN1CN(CC)c2c1cc1nsnc1c2OC(C)=O,1.19
85,CCCN(C)c1c2c(c(C)c3nsnc13)N(CC)CCN2C,1.14
86,CCN1CCN(C)c2c1cc1nsnc1c2C,1.28
87,CCc1c2c(c(OCCOC)c3nsnc13)C1CCC2CC1,1.39
88,CCN1CCOc2cc3nsnc3cc21,1.34
89,CCOc1c2c(cc3nsnc13)OC(CC)CO2,1.59
90,CNc1cc2c(c3nsnc13)C(C)(C)CO2,1.39
91,CCC1COc2c(c(N(C)CC)c3nsnc3c2C)O1,1.44
92,CCN(CC)CCc1c2c(cc3nsnc13)N(C)CCN2C,1.32
93,CCCN(C)c1c2c(c3nsnc3c1NC(C)C)NCC2,1.41
94,CCCN1CN(C)c2c1c(C)c1nsnc1c2OCC,1.18
95,CC1Cc2c3c(c4nsnc4c2N(C)C1)OC(C)CO3,1.39
96,CC(C)Cc1c2c(cc3nsnc13)OCCO2,1.48
97,CCOc1c2c(c(OC)c3nsnc13)N(C)CN2C(C)C,1.2
98,CCCC1COc2c(cc3nsnc3c2N(C)CCC)O1,1.48
99,CCN1CN(CC(C)C)c2c1c(C)c1nsnc1c2C,1.2
100,CCCCc1cc(NCC)c2nsnc2c1,1.48
101,CCC(C)Oc1c2c(c(C(C)C)c3nsnc13)OCCO2,1.45
102,CCc1c2c(cc3nsnc13)N(CC)CN2C,1.08
103,CCCc1c2c(c(OC)c3nsnc13)N(CC)CN2C,1.18
104,CCCC1Oc2cc3nsnc3c(/[NH+]=C(\C)[O-])c2OC1C,1.61
105,CCN1CCN(CC(C)C)c2cc3nsnc3c(C)c21,1.38
106,CCc1c2c(c(C)c3nsnc13)OC(C)C(CC)O2,1.49
107,CC(C)N(C)c1c2c(cc3nsnc13)N(C)CN2C,1.11
108,CC(C)Oc1c2c(c(OC(C)C)c3nsnc13)OCCO2,1.52
109,CCCc1c2c(c(C(C)CC)c3nsnc13)OCC(C)O2,1.24
110,CCCN1CN(C)c2c1cc1nsnc1c2/[N+](CC)=C(\C)[O-],1.15
111,CCCN1CN(CCC)c2c1cc1nsnc1c2C,1.05
112,CCC1COc2c(c(CCOC)c3nsnc3c2OC)O1,1.46
113,C/C([O-])=[NH+]\c1c2c(cc3nsnc13)N(C)CCN2CC(C)C,1.34
114,CCCc1c2c(c(N(C)C(C)C)c3nsnc13)OCC(C)O2,1.45
115,CCN1CN(C)c2c1c(OC(C)C)c1nsnc1c2C,1.18
116,COCCNc1c2c(cc3nsnc13)N(C)CCN2C,1.16
117,CCOc1c2c(cc3nsnc13)N(C)CN2CC,1.15
118,CC(C)N(C)c1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.13
119,CCCN1CCN(C(C)C)c2c1cc1nsnc1c2OC,1.32
120,CCCc1c2c(cc3nsnc13)N(CC)CCN2CC,1.36
121,CCCNc1c(NC)c(OC(C)CC)c2nsnc2c1NC,1.34
122,CCCc1c2c(c(C)c3nsnc13)N(C)CCN2C(C)CC,1.26
123,CCN(c1c2c(c(NC)c3nsnc13)C1CCC2C1)C(C)C,1.33
124,CCOc1c2c(c(C)c3nsnc13)N(C)CN2C,1.2
125,CCC(C)N(C)c1c2c(cc3nsnc13)N(C)CN2CC,1.1
126,CCCN1CCN(C)c2c1c(C(C)C)c1nsnc1c2OC,1.18
127,CCCN1CN(C)c2cc3nsnc3c(OC(C)C)c21,1.19
128,CC(C)Oc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.28
129,CCCCC1COc2c(c(C)c3nsnc3c2C(C)CC)O1,1.39
130,CCN1c2cc3nsnc3c(OC)c2N(C)C1OC,1.25
131,CCN1c2c(cc3nsnc3c2OC(C)C)N(C)C1OC,1.15
132,CCC1Oc2c(c(C)c3nsnc3c2C)OC1C,1.36
133,c1cc2nsnc2c2c1OCCN2,1.52
134,CCN1c2cc3nsnc3c(OC(C)=O)c2N(C)C1OC,1.29
135,CCCN1c2cc3nsnc3c(C)c2N(C)C1OCC,1.07
136,CCN1CCN(CC)c2c1c(C)c1nsnc1c2NC,1.29
137,Cc1c2c(c(NC(C)C)c3nsnc13)C1CCC2CC1,1.4
138,CCCCC1Oc2c(cc3nsnc3c2C(C)C)OC1CC,1.38
139,CCC(C)c1c2c(c(C)c3nsnc13)OCC(CC(C)C)O2,1.27
140,COCCNc1c2c(cc3nsnc13)OC(C)CO2,1.45
141,CCC/[N+](=C(/C)[O-])c1c2c(cc3nsnc13)OCCO2,1.69
142,CCOc1c2c(c(OC)c3nsnc13)OCC(C)O2,1.5
143,CCNc1c2c(c(OC(C)CC)c3nsnc13)C1CCC2C1,1.38
144,Cc1c2c(c(CC(C)C)c3nsnc13)N(C)CN2CC(C)C,1.09
145,CN(C)c1c2c(cc3nsnc13)C1CCC2CC1,1.48
146,CCNc1c(NC(C)C)c(C)c2nsnc2c1C,1.4
147,CCCN(C)c1c(N(C)OC(C)C)c(C)c2nsnc2c1C,1.52
148,CCC1Oc2c(cc3nsnc3c2C)OC1CCOC,1.6
149,CCN1CN(C)c2cc3nsnc3c(/[NH+]=C(\C)[O-])c21,1.21
150,CCOCCc1c2c(c(OC)c3nsnc13)C1CCC2CC1,1.55
151,CCC(C)N1CN(CC)c2c1cc1nsnc1c2OC(C)C,1.14
152,CCCOCCN1CCN(C)c2cc3nsnc3c(C)c21,1.3
153,CCCN1CCN(C(C)CC)c2c1cc1nsnc1c2CC,1.22
154,CCCC1Oc2c(c(C)c3nsnc3c2CC)OC1C,1.41
155,CCC1Oc2cc3nsnc3c(OC(C)C)c2OC1C,1.47
156,CCCN(c1c2c(cc3nsnc13)C1CCC2CC1)C(C)C,1.43
157,CCCc1c2c(c(N(C)CC)c3nsnc13)OCC(CC)O2,1.4
158,CC(C)OCCC1COc2cc3nsnc3cc2O1,1.59
159,CCOc1cc(NC)c2nsnc2c1NC,1.4
160,COc1cc2nsnc2c2c1OCCN2,1.37
161,CCC1Oc2c(cc3nsnc3c2C(C)C)OC1C,1.44
162,CCc1c2c(c(C(C)CC)c3nsnc13)N(C)CN2C,1.1
163,CCC1Oc2cc3nsnc3c(N(CC)CC)c2OC1CC,1.49
164,CC(C)c1c2c(cc3nsnc13)N(CCN(C)C)CCN2C,1.51
165,COCCc1cc2nsnc2cc1N(C)C,1.55
166,CCN1c2cc3nsnc3c(OC)c2N(C)C1OC(C)C,1.16
167,CCC(C)N1CN(C)c2c1cc1nsnc1c2C,1.04
168,CCC/C([O-])=[NH+]\c1c2c(c(C)c3nsnc13)OCCO2,1.57
169,CCCCOc1c2c(cc3nsnc13)N(C)CCN2CC,1.26
170,CCCN1CN(CCC)c2c1cc1nsnc1c2OC,1.13
171,CCCOc1c2c(c(CC)c3nsnc13)N(C)CN2C,1.17
172,CCc1c2c(cc3nsnc13)N(C)C(OC(C)C)N2C,1.14
173,CCc1c2c(c(OCCN(C)C)c3nsnc13)OCCO2,1.49
174,CCOCCN1CN(CC(C)C)c2cc3nsnc3cc21,1.06
175,CCCCOCCc1c2c(cc3nsnc13)C1CCC2CC1,1.64
176,CNc1cc2c(c3nsnc13)CCCCO2,1.32
177,CCC(C)OCCC1COc2cc3nsnc3cc2O1,1.6
178,CCc1c2c(c(C)c3nsnc13)N(C(C)CC)CN2C,1.06
179,CCCCc1c2c(cc3nsnc13)N(CC)CN2CCCC,1.1
180,C/C([O-])=[NH+]\c1c2c(c(C(C)C)c3nsnc13)OCCO2,1.59
181,CCN1CN(CC(C)C)c2c1cc1nsnc1c2OC,1.1
182,CCC1Cc2ccc3nsnc3c2[NH+]=C1[O-],1.75
183,CCCOCCN1CN(C)c2c1cc1nsnc1c2OC,1.22
184,CCN(C)c1c2c(cc3nsnc13)N(CCOC)CN2C,1.07
185,CCCN1CN(C)c2c1cc1nsnc1c2NC,1.27
186,CC(C)c1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.2
187,CCc1c2c(c(OC(C)CC)c3nsnc13)N(C)CCN2C,1.53
188,CCCN1CN(CC)c2cc3nsnc3c(CC(C)C)c21,1.03
189,CCC(C)c1c2c(c(N(CC)CC)c3nsnc13)OCCO2,1.23
