,SMILES,ERed
0,CCc1c2c(c(C(C)CC)c3nsnc13)OC(C)C(C)O2,1.4
1,CCOc1cc2nsnc2c2c1OCC2,1.43
2,CCCCNc1c(NC)c(NC)c2nsnc2c1C,1.36
3,CCc1c2c(cc3nsnc13)N(C)CN2CC(C)C,1.09
4,CN(C)CCN1CN(C)c2cc3nsnc3cc21,1.15
5,CC(C)c1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.2
6,CCCc1c2c(cc3nsnc13)N(C(C)C)CCN2CCC,1.14
7,CC1COc2c(c(N(C)C)c3nsnc3c2C(C)C)O1,1.38
8,CCN(C)CCN1CCN(CC)c2cc3nsnc3cc21,1.06
9,Cc1c2c(c(CC(C)C)c3nsnc13)N(C)CCN2C,1.37
10,CCCc1c2c(cc3nsnc13)N(CCOC)CN2CC,1.09
11,CCc1c2c(c(CCOC)c3nsnc13)OC(C)CO2,1.42
12,CCCN1CN(C)c2c1c(OC)c1nsnc1c2OCC,1.19
13,CCc1c2c(cc3nsnc13)C(C)(C)CO2,1.46
14,CCC1COc2c(c(NC)c3nsnc3c2C)O1,1.37
15,CCCCc1c2c(c(C)c3nsnc13)OCC(C(C)C)O2,1.49
16,CCCN(c1c2c(cc3nsnc13)C1CCC2C1)C(C)C,1.33
17,CON(C)c1c(N(C)C)c(C)c2nsnc2c1C(C)C,1.53
18,CCCN1CN(CCC)c2c1cc1nsnc1c2/[NH+]=C(\C)[O-],1.16
19,CCCOc1c2c(c(C(C)C)c3nsnc13)OCC(C)O2,1.44
20,CCOCCN(C)c1cccc2nsnc12,1.53
21,CCc1c2c(c(C(C)C)c3nsnc13)N(C)CN2C,1.22
22,COc1c2c(cc3nsnc13)OCC(C)O2,1.5
23,CCCC1Oc2cc3nsnc3c(OC)c2OC1C,1.56
24,CCN(CC)c1c2c(cc3nsnc13)N(C)CCN2C,1.18
25,CCC(C)c1c2c(c(C(C)C)c3nsnc13)N(C)CN2C,1.31
26,CC(C)Cc1c2c(cc3nsnc13)N(C)CN2CC(C)C,1.21
27,CCCOc1c2c(cc3nsnc13)N(C)CN2CC,1.15
28,CCCOCCc1c2c(cc3nsnc13)OCC(CC)O2,1.46
29,CCOC1N(C)c2c(cc3nsnc3c2C(C)CC)N1CC,1.2
30,CC(C)CC1Oc2c(cc3nsnc3c2N(C)C)OC1C,1.46
31,Cc1c(N(C)C)c(N(C)C)c(OC(C)C)c2nsnc12,1.36
32,CCC(C)N1CN(C)c2c1cc1nsnc1c2OC(C)C,1.14
33,CCNc1c2c(cc3nsnc13)OC(C)CO2,1.25
34,CCCOC1N(CC)c2cc3nsnc3cc2N1CC,1.08
35,CCN1CCN(C)c2c1cc1nsnc1c2NC,1.23
36,CC(C)C1Oc2cc3nsnc3cc2OC1C,1.57
37,CCCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.08
38,CNc1cc2c(c3nsnc13)CCCCO2,1.32
39,CC(C)CN1CCN(CCN(C)C)c2cc3nsnc3cc21,1.06
40,CCCCc1c(NC)c(NC)c(NCC)c2nsnc12,1.35
41,CCCN1CN(C(C)C)c2c1cc1nsnc1c2CC(C)C,0.99
42,COc1c2c(c(C)c3nsnc13)OCC(C(C)C)O2,1.51
43,CCC(C)N1CCN(C)c2c1c(C)c1nsnc1c2OC,1.19
44,CNc1c(NC(C)C)c(N)cc2nsnc12,1.35
45,Cc1c2c(c(C(C)C)c3nsnc13)N(C)CCN2C(C)C,1.54
46,CCCCOc1c2c(cc3nsnc13)N(C(C)C)CN2C,1.15
47,CCC(C)c1c2c(c(NC)c3nsnc13)C1CCC2CC1,1.36
48,CCCCC1Oc2c(cc3nsnc3c2C)OC1C(C)C,1.56
49,CCC(C)C1COc2cc3nsnc3c(CCOC)c2O1,1.62
50,CCCN1CCN(CC)c2c1cc1nsnc1c2C(C)C,1.3
51,CCCOc1c2c(c(C)c3nsnc13)OC(CCC)CO2,1.5
52,CCCN(C)c1c2c(cc3nsnc13)N(C)CN2CC,1.06
53,CCc1c2c(c(C(C)C)c3nsnc13)OC(CC(C)C)CO2,1.4
54,CCc1c2c(c(OC(C)=O)c3nsnc13)OC(CC)CO2,1.59
55,CCCCc1c2c(cc3nsnc13)N(C)C(OC)N2CC,1.09
56,CCC/C([O-])=[NH+]\c1c2c(c(C)c3nsnc13)N(C)CCN2C,1.21
57,COCCN1CN(C(C)C)c2c1cc1nsnc1c2C,1.18
58,COCCc1c2c(c(N(C)C)c3nsnc13)OC(C)CO2,1.42
59,CC/C([O-])=[N+](/C)c1c2c(c(C)c3nsnc13)C1CCC2CC1,1.6
60,CC1COc2cc3nsnc3c(/[NH+]=C(/[O-])C(C)C)c2O1,1.74
61,CCC1COc2c(c(/[NH+]=C(\C)[O-])c3nsnc3c2OC)O1,1.71
62,CCN1CCN(C)c2c1cc1nsnc1c2OC(C)C,1.31
63,CCCOCCc1c2c(cc3nsnc13)OCC(C)O2,1.43
64,CCCCC1Oc2c(c(C)c3nsnc3c2CC)OC1C,1.44
65,CCCC1Oc2c(c(OC)c3nsnc3c2C)OC1CC,1.54
66,Cc1c2c(c(C)c3nsnc13)OC(C(C)C)C(C)O2,1.35
67,CCOc1c2c(c(CCN(C)C)c3nsnc13)OCCO2,1.54
68,CCCN1CN(C)c2c1c(OC)c1nsnc1c2OC,1.26
69,CCC(C)c1c2c(cc3nsnc13)N(C(C)C)CN2C(C)C,1.14
70,CC(C)Cc1c2c(cc3nsnc13)C1CCC2CC1,1.45
71,CNc1c2c(cc3nsnc13)N(C)CN2CCOC,1.3
72,CCCCN1CCNc2c1c(OC)c(NC)c1nsnc21,1.36
73,CC(C)Oc1c2c(cc3nsnc13)N(C(C)C)CN2C,1.15
74,CCNc1c(N(C)CC)ccc2nsnc12,1.71
75,CCCc1ccc2nsnc2c1N(C)CC,1.57
76,CCN1CCN(CC)c2c1cc1nsnc1c2OCC(C)C,1.21
77,CCCN1CN(C)c2cc3nsnc3c(N(C)C(C)CC)c21,1.01
78,CCCc1c2c(c(OCC)c3nsnc13)OCCO2,1.52
79,CCCc1c(OC)cc2nsnc2c1NC,1.38
80,CCCc1c2c(c(N(C)CC)c3nsnc13)OC(C)CO2,1.39
81,CCCCC1COc2c(cc3nsnc3c2NC)O1,1.45
82,CCC(C)N1CN(C)c2cc3nsnc3c(N(C)C)c21,1.05
83,CNc1c2c(c(C)c3nsnc13)OC(C)C2,1.27
84,CCN1CN(CC(C)C)c2cc3nsnc3c(C)c21,1.04
85,CCN1c2cc3nsnc3cc2N(C)C1OC(C)C,1.14
86,CCC(C)Nc1c(N)c(N)c(OC(C)C)c2nsnc12,1.27
87,CCOCCc1c2c(cc3nsnc13)OC(C)C(C)O2,1.54
88,CCN1CCN(CCN(C)C)c2cc3nsnc3cc21,1.19
89,Cc1c2c(c(CC(C)C)c3nsnc13)N(C)CCN2C(C)C,1.32
90,CCc1c2c(c(C)c3nsnc13)N(CC)CCN2C(C)CC,1.24
91,CC(C)CC1Oc2cc3nsnc3cc2OC1CC(C)C,1.32
92,CC1COc2c(c(CCN(C)C)c3nsnc3c2C(C)C)O1,1.39
93,CCCN1CN(C(C)C)c2c1cc1nsnc1c2CC,1.08
94,CCC(C)N1CCN(C)c2cc3nsnc3c(/[NH+]=C(\C)[O-])c21,1.31
95,CCC(C)N1CN(C)c2c1cc1nsnc1c2C,1.04
96,CCC(C)N(c1c2c(cc3nsnc13)OCC(C)O2)C(C)C,1.49
97,CCC1Oc2c(c(C)c3nsnc3c2N(C)C)OC1C(C)C,1.41
98,CCCN1CN(CC)c2cc3nsnc3c(C(C)CC)c21,1.09
99,CCC(C)Oc1c2c(cc3nsnc13)N(C)CCN2C,1.32
100,CCN1CN(CC)c2cc3nsnc3cc21,1.12
101,CC/C([O-])=[NH+]\c1c2c(c(OC)c3nsnc13)C1CCC2CC1,1.67
102,CCCN(C)c1c2c(cc3nsnc13)C1CCC2CC1,1.49
103,CCC(C)N1CN(CC)c2cc3nsnc3c(OC)c21,1.27
104,CCOc1c2c(c(C)c3nsnc13)N(CC(C)C)CCN2C,1.19
105,CCCCN1CN(CCCC)c2cc3nsnc3cc21,1.13
106,CCCN1CCN(C(C)C)c2cc3nsnc3c(C(C)C)c21,1.29
107,CNc1cc2nsnc2cc1NC(C)C,1.2
108,CC(C)COc1c2c(c(C(C)C)c3nsnc13)C1CCC2CC1,1.43
109,CC(C)c1c2c(cc3nsnc13)N(C(C)C)CCN2C(C)C,1.21
110,CCCC(=O)Oc1c2c(c(C)c3nsnc13)OC(C)CO2,1.6
111,CCCCc1c(NC)c(NC)c(OC(C)C)c2nsnc12,1.39
112,Cc1c2c(cc3nsnc13)N(C)CCN2CCN(C)C,1.27
113,CCCCc1c2c(cc3nsnc13)N(C(C)C)CN2C,1.07
114,CCOc1c2c(cc3nsnc13)N(CC(C)C)CCN2CC,1.23
115,CCC(C)N1CCN(C)c2c1c(OC)c1nsnc1c2C,1.29
116,CCN1c2cc3nsnc3c(C)c2N(CC)C1OC,1.16
117,CNc1c2c(c(C)c3nsnc13)OCCC2,1.38
118,CCc1cc(C)c2nsnc2c1N(C)CC,1.52
119,CCOc1c2c(cc3nsnc13)N(CC(C)C)CCN2C,1.2
120,CCCN1CCN(C)c2c1c(CC)c1nsnc1c2C,1.42
121,CCCOc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.16
