SMILES,ERed,MolWT,NValE,MolLogP
Cc1c2c(cc3nsnc13)N(C)CCN2CCN(C)C,1.27,291.15,108,1.82
CCN1CCN(CCOC)c2c1cc1nsnc1c2C,1.27,292.14,108,2.29
CCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.24,291.15,108,2.79
CCCN1CCN(CC)c2cc3nsnc3c(NCC)c21,1.22,305.17,114,3.18
CCNc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,1.2,305.17,114,3.18
CCCNc1c2c(cc3nsnc13)N(CC)CCN2C,1.39,291.15,108,2.79
CCNc1c2c(cc3nsnc13)N(C(C)CC)CCN2C,1.22,305.17,114,3.18
Cc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,1.27,276.14,102,2.91
CCCNc1c2c(cc3nsnc13)N(C)CCN2CCC,1.28,305.17,114,3.18
CC(C)Nc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.24,305.17,114,3.18
CCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,1.26,276.14,102,3.05
CNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.22,277.14,102,2.4
CCC(C)N1CCN(C)c2cc3nsnc3c(NC)c21,1.18,291.15,108,2.79
CCNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.23,291.15,108,2.79
CCCNc1c2c(cc3nsnc13)N(C)CCN2CC,1.14,291.15,108,2.79
CCCN1CCN(C)c2cc3nsnc3c(NC)c21,1.26,277.14,102,2.4
CC(C)CNc1c2c(cc3nsnc13)N(C)CCN2C,1.24,291.15,108,2.65
CC(C)N1c2cc3nsnc3cc2CC1C,1.29,233.1,84,2.85
CCCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,1.35,305.17,114,3.18
CCN1CCN(CC)c2c1cc1nsnc1c2NC,1.27,277.14,102,2.4
CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.49,305.17,114,3.18
CCN1CCN(CC(C)C)c2cc3nsnc3c(NC)c21,1.3,305.17,114,3.04
CCCNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.08,305.17,114,3.18
CCCN1CCN(C(C)C)c2c1cc1nsnc1c2NC,1.19,305.17,114,3.18
CCN1CCN(C(C)C)c2cc3nsnc3c(NC)c21,1.18,291.15,108,2.79
CCN1CCN(C)c2cc3nsnc3c(NCCOC)c21,1.35,307.15,114,2.03
CCCCN1CCN(CC)c2cc3nsnc3c(NC)c21,1.36,305.17,114,3.18
CCCN1CCN(C(C)C)c2c1cc1nsnc1c2CC,1.38,304.17,114,3.7
CNc1c2c(cc3nsnc13)N(C)CCC2,1.28,234.09,84,2.12
CCCN1CCN(C)c2cc3nsnc3c(NCC)c21,1.37,291.15,108,2.79
CCNc1c2c(cc3nsnc13)N(CC)CCN2C,1.23,277.14,102,2.4
CCCN1CCN(CC)c2c1cc1nsnc1c2C,1.23,276.14,102,3.06
CCCNc1c2c(cc3nsnc13)N(C)CCN2C,1.24,277.14,102,2.4
CCNc1c2c(cc3nsnc13)N(C)CCN2CC,1.21,277.14,102,2.4
CCN(C)c1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.16,305.17,114,2.81
CCCCNc1c2c(cc3nsnc13)N(CC)CCN2C,1.18,305.17,114,3.18
CCc1c2c(cc3nsnc13)N(CC)CCN2C(C)CC,1.22,304.17,114,3.7
CCc1c2c(cc3nsnc13)N(CC)CCN2CC,1.25,276.14,102,2.92
CCN1CCN(CC)c2c1cc1nsnc1c2C,1.31,262.13,96,2.67
CCC(C)N1CCN(CC)c2cc3nsnc3c(NC)c21,1.17,305.17,114,3.18
CCN1CCN(CC(C)C)c2c1cc1nsnc1c2NC,1.34,305.17,114,3.04
CCCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,1.19,305.17,114,3.18
CCN1CCN(C)c2cc3nsnc3c(C)c21,1.24,248.11,90,2.28
CCCN1CCN(C)c2c1cc1nsnc1c2NC,1.23,277.14,102,2.4
COCCNc1c2c(cc3nsnc13)N(C)CCN2C,1.16,293.13,108,1.64
CCc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.29,276.14,102,2.92
CCCN1CCN(C(C)CC)c2c1cc1nsnc1c2C,1.17,304.17,114,3.83
CCCCN1CCN(CC)c2c1cc1nsnc1c2CC,1.16,304.17,114,3.7
CCCN1CCN(CC)c2c1cc1nsnc1c2CC,1.26,290.16,108,3.31
CNc1c2c(cc3nsnc13)N(C)CCN2C,1.24,249.1,90,1.62
CCC(C)N1CCN(C)c2c1cc1nsnc1c2NC,1.11,291.15,108,2.79
CCCCN1CCN(C(C)C)c2c1cc1nsnc1c2C,1.16,304.17,114,3.83
CCNc1c2c(cc3nsnc13)N(CC)CCN2CC,1.3,291.15,108,2.79
CNc1c2c(cc3nsnc13)N(C)CCN2CCOC,1.16,293.13,108,1.64
CCCCN1CCN(C(C)CC)c2cc3nsnc3cc21,1.05,304.17,114,3.92
CCCN1CCN(CC)c2c1cc1nsnc1c2C(C)C,1.3,304.17,114,3.87
CCCc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,1.27,304.17,114,3.7
CCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,0.98,291.15,108,2.79
CCCCN1CCN(C)c2cc3nsnc3c(NC)c21,1.22,291.15,108,2.79
CCOCCN1CCN(C)c2cc3nsnc3c(C)c21,1.41,292.14,108,2.29
CCN1CN(CCOC)c2c1cc1nsnc1c2C,1.02,278.12,102,2.25
CCc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,1.26,290.16,108,3.31
CCNc1cc(N(C)CC)cc2nsnc12,1.23,236.11,86,2.58
CCCOC1N(CC)c2cc3nsnc3cc2N1CC,1.08,292.14,108,3.07
CCN1CCN(C)c2cc3nsnc3c(C(C)C)c21,1.23,276.14,102,3.09
CCC(C)N1CCN(C)c2c1cc1nsnc1c2C,1.3,276.14,102,3.05
CCCN1CCN(CC)c2cc3nsnc3c(NC)c21,1.19,291.15,108,2.79
CCCN1CCN(CC)c2c1cc1nsnc1c2NCC,1.17,305.17,114,3.18
CCCOC1N(C)c2cc3nsnc3cc2N1CC,1.15,278.12,102,2.68
CCCOC1N(C)c2cc3nsnc3cc2N1C(C)C,1.1,292.14,108,3.07
CCCN1CCN(C)c2cc3nsnc3c(C)c21,1.2,262.13,96,2.67
CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C,1.24,277.14,102,2.4
CNc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,1.35,291.15,108,2.65
CCCCN1CCN(CC)c2cc3nsnc3c(CC)c21,1.31,304.17,114,3.7
CCCN1CCN(C(C)C)c2cc3nsnc3cc21,1.18,276.14,102,3.14
CCCN1CCN(CC)c2c1cc1nsnc1c2NC,1.12,291.15,108,2.79
CCOC1N(C)c2cc3nsnc3cc2N1C(C)C,1.11,278.12,102,2.68
CCOC1N(C)c2cc3nsnc3cc2N1C(C)CC,1.11,292.14,108,3.07
CCCCN1CCN(C(C)C)c2cc3nsnc3cc21,1.13,290.16,108,3.53
CCC(C)N1CCN(C)c2cc3nsnc3c(C)c21,1.22,276.14,102,3.05
CCCCN1CCN(C)c2cc3nsnc3c(C)c21,1.13,276.14,102,3.06
