,ERed
0,1.56
1,1.68
2,1.59
3,1.08
4,1.19
5,1.43
6,1.4
7,1.42
8,1.47
9,1.1
10,1.52
11,1.18
12,1.36
13,1.18
14,1.04
15,1.04
16,1.18
17,1.42
18,1.53
19,1.25
20,1.39
21,1.48
22,1.25
23,1.49
24,1.22
25,1.37
26,1.27
27,1.25
28,1.36
29,1.11
30,1.51
31,1.48
32,1.08
33,1.53
34,1.17
35,1.37
36,1.39
37,1.6
38,1.22
39,1.13
40,1.61
41,0.86
42,1.65
43,1.36
44,1.48
45,1.5
46,1.53
47,1.38
48,1.42
49,1.32
50,1.18
51,1.51
52,1.5
53,1.36
54,1.57
55,1.51
56,1.23
57,1.4
58,1.36
59,1.39
60,1.87
61,1.57
62,1.26
63,1.04
64,1.65
65,1.54
66,1.43
67,1.35
68,1.63
69,1.21
70,1.08
71,1.1
72,1.34
73,1.04
74,1.65
75,1.15
76,1.19
77,1.55
78,1.26
79,1.16
80,1.42
81,1.1
82,1.17
83,1.15
84,1.33
85,1.66
86,1.29
87,1.17
88,1.25
89,1.7
90,1.4
91,1.31
92,1.53
93,1.63
94,1.27
95,1.3
96,1.62
97,1.09
98,1.55
99,1.1
100,1.58
101,1.1
102,1.35
103,1.1
104,1.42
105,1.48
106,1.54
107,1.1
108,1.16
109,1.15
110,1.56
111,0.99
112,1.24
113,1.23
114,1.63
115,1.51
116,1.57
117,1.21
118,1.3
119,1.39
120,1.63
121,1.48
122,1.29
123,1.42
124,1.42
125,1.25
126,1.27
127,1.23
128,1.25
129,0.98
130,1.34
131,1.04
132,1.48
133,1.56
134,1.34
135,1.36
136,1.49
137,1.11
138,1.51
139,1.33
140,1.66
141,1.22
142,1.32
143,1.68
144,1.2
145,1.42
146,1.49
147,1.24
148,1.59
149,1.26
150,1.36
151,1.29
152,1.44
153,1.59
154,1.42
155,1.41
156,1.07
157,1.38
158,1.19
159,1.36
160,1.14
161,1.61
162,1.5
163,1.36
164,1.15
165,1.65
166,1.43
167,1.13
168,1.11
169,1.16
170,1.28
171,1.44
172,1.26
173,1.32
174,1.47
175,1.66
176,1.59
177,1.22
178,1.5
179,1.32
180,1.4
181,1.22
182,1.32
183,1.51
184,1.29
185,1.37
186,1.55
187,1.24
188,1.32
189,1.65
190,1.66
191,1.28
192,1.11
193,1.14
194,1.5
195,1.22
196,1.63
197,1.58
198,1.46
199,1.67
200,1.1
201,1.15
202,1.49
203,1.13
204,1.52
205,1.42
206,1.45
207,1.46
208,1.11
209,1.46
210,1.28
211,1.05
212,1.39
213,1.43
214,1.57
215,1.37
216,1.13
217,1.05
218,1.04
219,1.41
220,1.42
221,1.22
222,1.21
223,1.75
224,1.12
225,1.26
226,1.23
227,1.59
228,1.18
229,1.36
230,1.25
231,1.07
232,1.14
233,1.38
234,1.33
235,1.42
236,1.39
237,1.16
238,1.52
239,1.14
240,1.11
241,1.46
242,1.65
243,1.29
244,1.14
245,1.15
246,1.47
247,1.47
248,1.29
249,1.55
250,1.16
251,1.4
252,1.22
253,1.23
254,1.16
255,1.12
256,1.48
257,1.45
258,1.52
259,1.32
260,1.26
261,1.31
262,1.52
263,1.5
264,1.6
265,1.41
266,1.26
267,1.39
268,1.15
269,1.06
270,1.48
271,1.3
272,1.12
273,1.57
274,1.09
275,1.41
276,1.25
277,1.3
278,1.48
279,1.12
280,1.19
281,1.32
282,1.57
283,1.49
284,1.37
285,1.22
286,1.12
287,1.28
288,1.58
289,1.08
290,1.37
291,1.24
292,1.42
293,1.14
294,1.35
295,1.2
296,1.18
297,1.49
298,1.2
299,1.37
300,1.27
301,1.4
302,1.33
303,1.37
304,1.51
305,1.25
306,1.36
307,1.14
308,1.69
309,1.05
310,1.23
311,1.29
312,1.53
313,1.21
314,1.33
315,1.41
316,1.44
317,1.42
318,1.14
319,1.34
320,1.22
321,1.64
322,1.3
323,1.5
324,1.23
325,1.22
326,1.55
327,1.76
328,1.14
329,1.42
330,1.6
331,1.29
332,1.69
333,1.54
334,1.17
335,1.22
336,1.5
337,1.27
338,1.32
339,1.22
340,1.45
341,1.27
342,1.08
343,1.3
344,1.29
345,1.18
346,1.36
347,1.37
348,1.5
349,1.19
350,1.28
351,1.44
352,1.2
353,1.63
354,1.29
355,1.13
356,1.49
357,1.21
358,1.26
359,1.07
360,1.36
361,1.24
362,1.16
363,1.43
364,1.55
365,1.6
366,1.49
367,1.22
368,1.41
369,1.12
370,1.19
371,1.5
372,1.33
373,1.31
374,1.27
375,1.23
376,1.2
377,1.24
378,1.48
379,1.51
380,1.16
381,1.32
382,1.37
383,1.47
384,1.46
385,1.1
386,1.22
387,1.39
388,1.23
389,1.38
390,1.73
391,1.54
392,1.51
393,1.69
394,1.46
395,1.23
396,1.47
397,1.53
398,1.27
399,1.11
400,0.89
401,1.45
402,1.44
403,1.6
404,1.53
405,1.41
406,1.47
407,1.57
408,1.47
409,1.31
410,1.37
411,1.33
412,1.79
413,1.52
414,1.49
415,1.57
416,1.22
417,1.69
418,1.42
419,1.46
420,1.44
421,1.35
422,1.08
423,1.81
424,1.66
425,1.08
426,1.36
427,1.48
428,1.46
429,1.68
430,1.18
431,1.08
432,1.18
433,1.13
434,1.62
435,1.42
436,1.02
437,1.39
438,1.2
439,1.12
440,1.14
441,1.36
442,1.32
443,1.52
444,1.16
445,1.43
446,1.26
447,1.1
448,1.54
449,1.39
450,1.45
451,1.56
452,1.38
453,1.38
454,1.15
455,1.45
456,1.39
457,1.46
458,1.25
459,1.53
460,1.2
461,1.25
462,1.39
463,1.26
464,1.6
465,1.46
466,1.12
467,1.35
468,1.35
469,1.24
470,1.39
471,1.46
472,1.06
473,1.33
474,1.15
475,1.58
476,1.46
477,1.52
478,1.62
479,1.04
480,1.11
481,1.57
482,1.06
483,1.2
484,1.14
485,1.38
486,1.44
487,1.5
488,1.13
489,1.07
490,1.2
491,1.42
492,1.1
493,1.19
494,1.15
495,1.38
496,1.09
497,1.4
498,1.15
499,1.15
500,1.44
501,1.51
502,1.15
503,1.61
504,1.44
505,1.49
506,1.12
507,1.54
508,1.16
509,1.49
510,1.3
511,1.55
512,1.4
513,1.21
514,1.02
515,1.22
516,1.45
517,1.59
518,1.46
519,1.38
520,1.16
521,1.02
522,1.42
523,1.2
524,1.48
525,1.42
526,1.1
527,1.4
528,1.56
529,1.59
530,1.3
531,1.22
532,1.57
533,1.16
534,1.39
535,1.46
536,1.74
537,1.72
538,1.43
539,1.05
540,1.5
541,1.49
542,1.17
543,0.97
544,1.49
545,1.43
546,1.15
547,1.27
548,1.58
549,1.52
550,1.54
551,1.5
552,1.47
553,1.56
554,1.45
555,1.48
556,1.08
557,1.62
558,1.4
559,1.49
560,1.19
561,1.58
562,1.37
563,1.33
564,1.21
565,1.09
566,1.11
567,1.7
568,1.63
569,1.43
570,1.46
571,1.42
572,1.31
573,1.09
574,1.54
575,1.11
576,1.51
577,1.36
578,1.39
579,1.27
580,1.35
581,1.12
582,1.33
583,1.6
584,1.82
585,1.1
586,1.26
587,1.53
588,1.42
589,1.51
590,1.26
591,1.48
592,1.49
593,1.09
594,1.24
595,1.2
596,1.41
597,1.48
598,1.24
599,1.24
600,1.48
601,1.74
602,1.44
603,1.34
604,1.44
605,1.23
606,1.05
607,1.44
608,1.32
609,1.28
610,1.46
611,1.45
612,1.37
613,1.4
614,1.41
615,1.3
616,1.16
617,1.44
618,1.37
619,1.33
620,1.15
621,1.51
622,1.16
623,1.51
624,1.15
625,1.55
626,1.39
627,1.4
628,1.16
629,1.43
630,1.52
631,1.11
632,1.26
633,1.54
634,1.35
635,1.38
636,1.58
637,1.38
638,1.51
639,1.1
640,1.36
641,1.24
642,1.46
643,1.44
644,1.44
645,1.22
646,1.33
647,1.5
648,1.43
649,1.37
650,1.57
651,1.47
652,1.48
653,1.42
654,1.49
655,1.58
656,1.49
657,1.11
658,1.12
659,1.17
660,1.61
661,1.45
662,1.45
663,1.09
664,1.45
665,1.61
666,1.47
667,1.06
668,1.48
669,1.42
670,1.23
671,1.29
672,1.44
673,1.56
674,1.43
675,1.32
676,1.29
677,1.39
678,1.37
679,1.35
680,1.23
681,1.2
682,1.17
683,1.14
684,1.04
685,1.19
686,1.45
687,1.09
688,1.11
689,1.64
690,1.47
691,1.27
692,1.46
693,1.22
694,1.25
695,1.02
696,1.36
697,1.72
698,1.02
699,1.48
700,1.15
701,1.51
702,1.18
703,1.4
704,1.63
705,1.24
706,1.23
707,1.53
708,1.54
709,1.04
710,1.16
711,1.31
712,1.35
713,1.51
714,1.52
715,1.37
716,1.33
717,1.49
718,1.53
719,1.47
720,1.33
721,1.36
722,1.53
723,1.45
724,1.5
725,1.38
